first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_4
2019-02-14 02:03:00+00:00;2019-02-14 02:04:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 02:03:00+0000', tz='UTC'), Timestamp('2019-02-14 02:04:30+0000', tz='UTC'), None);1;2
2019-02-14 02:12:30+00:00;2019-02-14 02:21:00+00:00;0 days 00:08:30;slice(Timestamp('2019-02-14 02:12:30+0000', tz='UTC'), Timestamp('2019-02-14 02:21:00+0000', tz='UTC'), None);0;1
2019-02-14 02:28:00+00:00;2019-02-14 02:29:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 02:28:00+0000', tz='UTC'), Timestamp('2019-02-14 02:29:30+0000', tz='UTC'), None);1;2
2019-02-14 02:33:30+00:00;2019-02-14 02:43:30+00:00;0 days 00:10:00;slice(Timestamp('2019-02-14 02:33:30+0000', tz='UTC'), Timestamp('2019-02-14 02:43:30+0000', tz='UTC'), None);0;1
2019-02-14 02:49:00+00:00;2019-02-14 03:02:30+00:00;0 days 00:13:30;slice(Timestamp('2019-02-14 02:49:00+0000', tz='UTC'), Timestamp('2019-02-14 03:02:30+0000', tz='UTC'), None);0;1
2019-02-14 03:08:30+00:00;2019-02-14 03:10:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 03:08:30+0000', tz='UTC'), Timestamp('2019-02-14 03:10:00+0000', tz='UTC'), None);1;2
2019-02-14 03:12:30+00:00;2019-02-14 03:15:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 03:12:30+0000', tz='UTC'), Timestamp('2019-02-14 03:15:00+0000', tz='UTC'), None);1;2
2019-02-14 03:21:30+00:00;2019-02-14 03:23:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 03:21:30+0000', tz='UTC'), Timestamp('2019-02-14 03:23:30+0000', tz='UTC'), None);1;2
2019-02-14 03:32:00+00:00;2019-02-14 03:33:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 03:32:00+0000', tz='UTC'), Timestamp('2019-02-14 03:33:00+0000', tz='UTC'), None);1;0
2019-02-14 03:36:00+00:00;2019-02-14 03:46:00+00:00;0 days 00:10:00;slice(Timestamp('2019-02-14 03:36:00+0000', tz='UTC'), Timestamp('2019-02-14 03:46:00+0000', tz='UTC'), None);0;1
2019-02-14 03:48:30+00:00;2019-02-14 03:52:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 03:48:30+0000', tz='UTC'), Timestamp('2019-02-14 03:52:00+0000', tz='UTC'), None);0;1
2019-02-14 03:56:00+00:00;2019-02-14 03:58:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 03:56:00+0000', tz='UTC'), Timestamp('2019-02-14 03:58:30+0000', tz='UTC'), None);1;2
2019-02-14 04:05:00+00:00;2019-02-14 04:06:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 04:05:00+0000', tz='UTC'), Timestamp('2019-02-14 04:06:30+0000', tz='UTC'), None);1;2
2019-02-14 04:14:00+00:00;2019-02-14 04:16:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 04:14:00+0000', tz='UTC'), Timestamp('2019-02-14 04:16:00+0000', tz='UTC'), None);1;2
2019-02-14 04:18:30+00:00;2019-02-14 04:23:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-14 04:18:30+0000', tz='UTC'), Timestamp('2019-02-14 04:23:00+0000', tz='UTC'), None);0;1
2019-02-14 04:27:30+00:00;2019-02-14 04:29:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 04:27:30+0000', tz='UTC'), Timestamp('2019-02-14 04:29:00+0000', tz='UTC'), None);1;2
