first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_7
2019-02-13 19:07:30+00:00;2019-02-13 19:09:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 19:07:30+0000', tz='UTC'), Timestamp('2019-02-13 19:09:00+0000', tz='UTC'), None);1;1
2019-02-13 19:18:00+00:00;2019-02-13 19:19:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 19:18:00+0000', tz='UTC'), Timestamp('2019-02-13 19:19:00+0000', tz='UTC'), None);1;0
2019-02-13 19:28:00+00:00;2019-02-13 19:29:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 19:28:00+0000', tz='UTC'), Timestamp('2019-02-13 19:29:30+0000', tz='UTC'), None);1;1
2019-02-13 19:38:00+00:00;2019-02-13 19:39:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 19:38:00+0000', tz='UTC'), Timestamp('2019-02-13 19:39:30+0000', tz='UTC'), None);1;1
2019-02-13 19:48:30+00:00;2019-02-13 19:50:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 19:48:30+0000', tz='UTC'), Timestamp('2019-02-13 19:50:00+0000', tz='UTC'), None);1;1
2019-02-13 19:59:00+00:00;2019-02-13 20:00:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 19:59:00+0000', tz='UTC'), Timestamp('2019-02-13 20:00:30+0000', tz='UTC'), None);1;1
2019-02-13 20:09:30+00:00;2019-02-13 20:11:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 20:09:30+0000', tz='UTC'), Timestamp('2019-02-13 20:11:00+0000', tz='UTC'), None);1;3
2019-02-13 20:18:30+00:00;2019-02-13 20:20:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 20:18:30+0000', tz='UTC'), Timestamp('2019-02-13 20:20:00+0000', tz='UTC'), None);1;1
2019-02-13 20:27:00+00:00;2019-02-13 20:28:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 20:27:00+0000', tz='UTC'), Timestamp('2019-02-13 20:28:30+0000', tz='UTC'), None);1;1
2019-02-13 20:37:00+00:00;2019-02-13 20:38:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 20:37:00+0000', tz='UTC'), Timestamp('2019-02-13 20:38:30+0000', tz='UTC'), None);1;3
2019-02-13 20:46:30+00:00;2019-02-13 20:48:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 20:46:30+0000', tz='UTC'), Timestamp('2019-02-13 20:48:00+0000', tz='UTC'), None);1;3
2019-02-13 20:56:00+00:00;2019-02-13 20:57:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 20:56:00+0000', tz='UTC'), Timestamp('2019-02-13 20:57:30+0000', tz='UTC'), None);1;3
2019-02-13 21:05:30+00:00;2019-02-13 21:07:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 21:05:30+0000', tz='UTC'), Timestamp('2019-02-13 21:07:00+0000', tz='UTC'), None);1;1
2019-02-14 10:21:30+00:00;2019-02-14 10:29:00+00:00;0 days 00:07:30;slice(Timestamp('2019-02-14 10:21:30+0000', tz='UTC'), Timestamp('2019-02-14 10:29:00+0000', tz='UTC'), None);0;2
2019-02-14 10:37:00+00:00;2019-02-14 10:38:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 10:37:00+0000', tz='UTC'), Timestamp('2019-02-14 10:38:00+0000', tz='UTC'), None);1;0
2019-02-14 10:55:30+00:00;2019-02-14 11:05:00+00:00;0 days 00:09:30;slice(Timestamp('2019-02-14 10:55:30+0000', tz='UTC'), Timestamp('2019-02-14 11:05:00+0000', tz='UTC'), None);0;5
2019-02-14 11:15:00+00:00;2019-02-14 11:20:30+00:00;0 days 00:05:30;slice(Timestamp('2019-02-14 11:15:00+0000', tz='UTC'), Timestamp('2019-02-14 11:20:30+0000', tz='UTC'), None);0;2
2019-02-14 11:22:30+00:00;2019-02-14 11:27:30+00:00;0 days 00:05:00;slice(Timestamp('2019-02-14 11:22:30+0000', tz='UTC'), Timestamp('2019-02-14 11:27:30+0000', tz='UTC'), None);0;2
2019-02-14 11:36:30+00:00;2019-02-14 11:39:30+00:00;0 days 00:03:00;slice(Timestamp('2019-02-14 11:36:30+0000', tz='UTC'), Timestamp('2019-02-14 11:39:30+0000', tz='UTC'), None);1;6
2019-02-14 11:46:30+00:00;2019-02-14 11:47:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 11:46:30+0000', tz='UTC'), Timestamp('2019-02-14 11:47:30+0000', tz='UTC'), None);1;0
2019-02-14 11:54:30+00:00;2019-02-14 11:56:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 11:54:30+0000', tz='UTC'), Timestamp('2019-02-14 11:56:00+0000', tz='UTC'), None);1;1
2019-02-14 12:03:00+00:00;2019-02-14 12:04:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 12:03:00+0000', tz='UTC'), Timestamp('2019-02-14 12:04:30+0000', tz='UTC'), None);1;3
2019-02-14 12:12:00+00:00;2019-02-14 12:13:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 12:12:00+0000', tz='UTC'), Timestamp('2019-02-14 12:13:00+0000', tz='UTC'), None);1;0
2019-02-14 12:20:30+00:00;2019-02-14 12:22:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 12:20:30+0000', tz='UTC'), Timestamp('2019-02-14 12:22:00+0000', tz='UTC'), None);1;3
2019-02-14 12:29:00+00:00;2019-02-14 12:30:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 12:29:00+0000', tz='UTC'), Timestamp('2019-02-14 12:30:30+0000', tz='UTC'), None);1;1
2019-02-14 12:38:00+00:00;2019-02-14 12:39:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 12:38:00+0000', tz='UTC'), Timestamp('2019-02-14 12:39:00+0000', tz='UTC'), None);1;0
2019-02-14 12:46:30+00:00;2019-02-14 12:48:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 12:46:30+0000', tz='UTC'), Timestamp('2019-02-14 12:48:00+0000', tz='UTC'), None);1;3
2019-02-14 12:55:30+00:00;2019-02-14 12:56:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 12:55:30+0000', tz='UTC'), Timestamp('2019-02-14 12:56:30+0000', tz='UTC'), None);1;0
2019-02-14 13:02:30+00:00;2019-02-14 13:04:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 13:02:30+0000', tz='UTC'), Timestamp('2019-02-14 13:04:00+0000', tz='UTC'), None);1;1
2019-02-14 13:11:30+00:00;2019-02-14 13:13:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 13:11:30+0000', tz='UTC'), Timestamp('2019-02-14 13:13:00+0000', tz='UTC'), None);1;1
2019-02-14 13:19:30+00:00;2019-02-14 13:21:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 13:19:30+0000', tz='UTC'), Timestamp('2019-02-14 13:21:00+0000', tz='UTC'), None);1;3
2019-02-14 13:29:00+00:00;2019-02-14 13:30:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 13:29:00+0000', tz='UTC'), Timestamp('2019-02-14 13:30:30+0000', tz='UTC'), None);1;1
2019-02-14 13:39:00+00:00;2019-02-14 13:40:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 13:39:00+0000', tz='UTC'), Timestamp('2019-02-14 13:40:00+0000', tz='UTC'), None);1;0
2019-02-14 13:48:00+00:00;2019-02-14 13:49:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 13:48:00+0000', tz='UTC'), Timestamp('2019-02-14 13:49:30+0000', tz='UTC'), None);1;1
2019-02-14 13:57:30+00:00;2019-02-14 13:58:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 13:57:30+0000', tz='UTC'), Timestamp('2019-02-14 13:58:30+0000', tz='UTC'), None);1;0
2019-02-14 14:07:00+00:00;2019-02-14 14:08:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 14:07:00+0000', tz='UTC'), Timestamp('2019-02-14 14:08:00+0000', tz='UTC'), None);1;0
2019-02-14 14:16:30+00:00;2019-02-14 14:18:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 14:16:30+0000', tz='UTC'), Timestamp('2019-02-14 14:18:00+0000', tz='UTC'), None);1;3
2019-02-14 14:35:30+00:00;2019-02-14 14:37:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 14:35:30+0000', tz='UTC'), Timestamp('2019-02-14 14:37:00+0000', tz='UTC'), None);1;3
2019-02-14 14:45:00+00:00;2019-02-14 14:46:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 14:45:00+0000', tz='UTC'), Timestamp('2019-02-14 14:46:30+0000', tz='UTC'), None);1;1
2019-02-14 14:55:00+00:00;2019-02-14 14:56:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 14:55:00+0000', tz='UTC'), Timestamp('2019-02-14 14:56:30+0000', tz='UTC'), None);1;3
2019-02-14 15:05:00+00:00;2019-02-14 15:06:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-14 15:05:00+0000', tz='UTC'), Timestamp('2019-02-14 15:06:00+0000', tz='UTC'), None);1;0
