first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3;ALG_catch24_kmeans_5;ALG_catch24_kmeans_7;ALG_naive_kmeans_2;ALG_naive_kmeans_3;ALG_naive_kmeans_5;ALG_naive_kmeans_4;ALG_catch24_kmeans_2_r;ALG_catch24_kmeans_3_r;ALG_catch24_kmeans_5_r;ALG_catch24_kmeans_7_r
2019-02-15 03:40:00+00:00;2019-02-15 04:01:00+00:00;0 days 00:21:00;slice(Timestamp('2019-02-15 03:40:00+0000', tz='UTC'), Timestamp('2019-02-15 04:01:00+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-15 05:17:30+00:00;2019-02-15 05:38:30+00:00;0 days 00:21:00;slice(Timestamp('2019-02-15 05:17:30+0000', tz='UTC'), Timestamp('2019-02-15 05:38:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-15 07:00:00+00:00;2019-02-15 07:24:00+00:00;0 days 00:24:00;slice(Timestamp('2019-02-15 07:00:00+0000', tz='UTC'), Timestamp('2019-02-15 07:24:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-15 08:13:00+00:00;2019-02-15 08:33:30+00:00;0 days 00:20:30;slice(Timestamp('2019-02-15 08:13:00+0000', tz='UTC'), Timestamp('2019-02-15 08:33:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-15 09:54:30+00:00;2019-02-15 10:16:00+00:00;0 days 00:21:30;slice(Timestamp('2019-02-15 09:54:30+0000', tz='UTC'), Timestamp('2019-02-15 10:16:00+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-15 11:25:30+00:00;2019-02-15 11:52:00+00:00;0 days 00:26:30;slice(Timestamp('2019-02-15 11:25:30+0000', tz='UTC'), Timestamp('2019-02-15 11:52:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-15 12:56:30+00:00;2019-02-15 13:17:30+00:00;0 days 00:21:00;slice(Timestamp('2019-02-15 12:56:30+0000', tz='UTC'), Timestamp('2019-02-15 13:17:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-15 13:38:00+00:00;2019-02-15 15:04:30+00:00;0 days 01:26:30;slice(Timestamp('2019-02-15 13:38:00+0000', tz='UTC'), Timestamp('2019-02-15 15:04:30+0000', tz='UTC'), None);1;1;1;3;0;0;3;3;1;1;1;3
2019-02-15 16:01:30+00:00;2019-02-15 16:32:30+00:00;0 days 00:31:00;slice(Timestamp('2019-02-15 16:01:30+0000', tz='UTC'), Timestamp('2019-02-15 16:32:30+0000', tz='UTC'), None);1;1;1;4;0;0;0;0;1;1;1;4
2019-02-15 17:41:30+00:00;2019-02-15 18:09:30+00:00;0 days 00:28:00;slice(Timestamp('2019-02-15 17:41:30+0000', tz='UTC'), Timestamp('2019-02-15 18:09:30+0000', tz='UTC'), None);1;1;1;6;0;0;0;0;1;1;1;6
2019-02-15 19:09:30+00:00;2019-02-15 19:20:30+00:00;0 days 00:11:00;slice(Timestamp('2019-02-15 19:09:30+0000', tz='UTC'), Timestamp('2019-02-15 19:20:30+0000', tz='UTC'), None);0;0;3;2;0;0;0;0;0;0;3;2
2019-02-15 19:25:30+00:00;2019-02-15 19:49:30+00:00;0 days 00:24:00;slice(Timestamp('2019-02-15 19:25:30+0000', tz='UTC'), Timestamp('2019-02-15 19:49:30+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-15 20:49:00+00:00;2019-02-15 21:14:30+00:00;0 days 00:25:30;slice(Timestamp('2019-02-15 20:49:00+0000', tz='UTC'), Timestamp('2019-02-15 21:14:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-15 22:44:30+00:00;2019-02-15 23:08:00+00:00;0 days 00:23:30;slice(Timestamp('2019-02-15 22:44:30+0000', tz='UTC'), Timestamp('2019-02-15 23:08:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 00:29:00+00:00;2019-02-16 00:52:30+00:00;0 days 00:23:30;slice(Timestamp('2019-02-16 00:29:00+0000', tz='UTC'), Timestamp('2019-02-16 00:52:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-16 02:22:30+00:00;2019-02-16 02:46:00+00:00;0 days 00:23:30;slice(Timestamp('2019-02-16 02:22:30+0000', tz='UTC'), Timestamp('2019-02-16 02:46:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 04:11:00+00:00;2019-02-16 04:35:00+00:00;0 days 00:24:00;slice(Timestamp('2019-02-16 04:11:00+0000', tz='UTC'), Timestamp('2019-02-16 04:35:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 06:04:00+00:00;2019-02-16 06:27:00+00:00;0 days 00:23:00;slice(Timestamp('2019-02-16 06:04:00+0000', tz='UTC'), Timestamp('2019-02-16 06:27:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 07:55:00+00:00;2019-02-16 08:17:30+00:00;0 days 00:22:30;slice(Timestamp('2019-02-16 07:55:00+0000', tz='UTC'), Timestamp('2019-02-16 08:17:30+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-16 09:38:30+00:00;2019-02-16 10:02:30+00:00;0 days 00:24:00;slice(Timestamp('2019-02-16 09:38:30+0000', tz='UTC'), Timestamp('2019-02-16 10:02:30+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-16 11:26:30+00:00;2019-02-16 11:50:00+00:00;0 days 00:23:30;slice(Timestamp('2019-02-16 11:26:30+0000', tz='UTC'), Timestamp('2019-02-16 11:50:00+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-16 12:46:00+00:00;2019-02-16 13:08:30+00:00;0 days 00:22:30;slice(Timestamp('2019-02-16 12:46:00+0000', tz='UTC'), Timestamp('2019-02-16 13:08:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-16 13:26:30+00:00;2019-02-16 14:04:30+00:00;0 days 00:38:00;slice(Timestamp('2019-02-16 13:26:30+0000', tz='UTC'), Timestamp('2019-02-16 14:04:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 15:06:30+00:00;2019-02-16 15:14:30+00:00;0 days 00:08:00;slice(Timestamp('2019-02-16 15:06:30+0000', tz='UTC'), Timestamp('2019-02-16 15:14:30+0000', tz='UTC'), None);0;0;3;2;0;0;0;0;0;0;3;2
2019-02-16 15:16:30+00:00;2019-02-16 15:46:00+00:00;0 days 00:29:30;slice(Timestamp('2019-02-16 15:16:30+0000', tz='UTC'), Timestamp('2019-02-16 15:46:00+0000', tz='UTC'), None);1;2;4;4;0;0;0;0;1;2;4;4
2019-02-16 16:10:00+00:00;2019-02-16 16:43:00+00:00;0 days 00:33:00;slice(Timestamp('2019-02-16 16:10:00+0000', tz='UTC'), Timestamp('2019-02-16 16:43:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 17:58:30+00:00;2019-02-16 18:27:00+00:00;0 days 00:28:30;slice(Timestamp('2019-02-16 17:58:30+0000', tz='UTC'), Timestamp('2019-02-16 18:27:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 19:16:00+00:00;2019-02-16 19:39:30+00:00;0 days 00:23:30;slice(Timestamp('2019-02-16 19:16:00+0000', tz='UTC'), Timestamp('2019-02-16 19:39:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-16 20:31:30+00:00;2019-02-16 20:51:00+00:00;0 days 00:19:30;slice(Timestamp('2019-02-16 20:31:30+0000', tz='UTC'), Timestamp('2019-02-16 20:51:00+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-16 21:59:00+00:00;2019-02-16 22:21:00+00:00;0 days 00:22:00;slice(Timestamp('2019-02-16 21:59:00+0000', tz='UTC'), Timestamp('2019-02-16 22:21:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
