first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_8
2019-02-20 10:57:00+00:00;2019-02-20 12:02:00+00:00;0 days 01:05:00;slice(Timestamp('2019-02-20 10:57:00+0000', tz='UTC'), Timestamp('2019-02-20 11:09:30+0000', tz='UTC'), None);0;1
2019-02-20 14:48:00+00:00;2019-02-20 15:18:30+00:00;0 days 00:31:00;slice(Timestamp('2019-02-20 14:48:00+0000', tz='UTC'), Timestamp('2019-02-20 14:50:30+0000', tz='UTC'), None);1;4
2019-02-20 19:23:30+00:00;2019-02-20 20:43:30+00:00;0 days 01:20:00;slice(Timestamp('2019-02-20 19:23:30+0000', tz='UTC'), Timestamp('2019-02-20 19:31:30+0000', tz='UTC'), None);0;7
2019-02-20 21:06:30+00:00;2019-02-20 22:32:30+00:00;0 days 01:26:00;slice(Timestamp('2019-02-20 21:06:30+0000', tz='UTC'), Timestamp('2019-02-20 21:12:30+0000', tz='UTC'), None);0;7
2019-02-21 13:46:30+00:00;2019-02-21 14:08:00+00:00;0 days 00:21:00;slice(Timestamp('2019-02-21 13:46:30+0000', tz='UTC'), Timestamp('2019-02-21 13:49:00+0000', tz='UTC'), None);1;2
2019-02-21 19:01:00+00:00;2019-02-21 19:46:00+00:00;0 days 00:45:00;slice(Timestamp('2019-02-21 19:01:00+0000', tz='UTC'), Timestamp('2019-02-21 19:03:30+0000', tz='UTC'), None);1;4
2019-02-21 20:16:00+00:00;2019-02-21 21:42:00+00:00;0 days 01:26:00;slice(Timestamp('2019-02-21 20:16:00+0000', tz='UTC'), Timestamp('2019-02-21 20:27:00+0000', tz='UTC'), None);0;1
2019-02-21 22:07:00+00:00;2019-02-21 23:04:00+00:00;0 days 00:57:00;slice(Timestamp('2019-02-21 22:07:00+0000', tz='UTC'), Timestamp('2019-02-21 22:08:00+0000', tz='UTC'), None);1;0
2019-02-22 13:50:00+00:00;2019-02-22 14:43:00+00:00;0 days 00:53:00;slice(Timestamp('2019-02-22 13:50:00+0000', tz='UTC'), Timestamp('2019-02-22 13:56:30+0000', tz='UTC'), None);0;7
2019-02-22 19:57:00+00:00;2019-02-22 21:17:00+00:00;0 days 01:20:00;slice(Timestamp('2019-02-22 19:57:00+0000', tz='UTC'), Timestamp('2019-02-22 19:58:00+0000', tz='UTC'), None);1;0
2019-02-22 21:46:00+00:00;2019-02-22 22:20:00+00:00;0 days 00:34:00;slice(Timestamp('2019-02-22 21:46:00+0000', tz='UTC'), Timestamp('2019-02-22 21:48:30+0000', tz='UTC'), None);1;4
2019-02-23 12:03:00+00:00;2019-02-23 12:36:00+00:00;0 days 00:33:00;slice(Timestamp('2019-02-23 12:03:00+0000', tz='UTC'), Timestamp('2019-02-23 12:12:30+0000', tz='UTC'), None);0;1
2019-02-23 15:25:00+00:00;2019-02-23 16:20:30+00:00;0 days 00:56:00;slice(Timestamp('2019-02-23 15:25:00+0000', tz='UTC'), Timestamp('2019-02-23 15:41:30+0000', tz='UTC'), None);0;5
2019-02-23 20:44:00+00:00;2019-02-23 21:34:30+00:00;0 days 00:51:00;slice(Timestamp('2019-02-23 20:44:00+0000', tz='UTC'), Timestamp('2019-02-23 20:59:00+0000', tz='UTC'), None);0;1
2019-02-24 15:17:30+00:00;2019-02-24 16:03:00+00:00;0 days 00:45:00;slice(Timestamp('2019-02-24 15:17:30+0000', tz='UTC'), Timestamp('2019-02-24 15:25:30+0000', tz='UTC'), None);0;7
2019-02-24 19:52:30+00:00;2019-02-24 20:48:30+00:00;0 days 00:56:00;slice(Timestamp('2019-02-24 19:52:30+0000', tz='UTC'), Timestamp('2019-02-24 20:07:30+0000', tz='UTC'), None);0;1
2019-02-24 20:57:30+00:00;2019-02-24 21:42:00+00:00;0 days 00:44:00;slice(Timestamp('2019-02-24 20:57:30+0000', tz='UTC'), Timestamp('2019-02-24 21:15:30+0000', tz='UTC'), None);0;5
2019-02-24 22:03:00+00:00;2019-02-24 22:33:00+00:00;0 days 00:30:00;slice(Timestamp('2019-02-24 22:03:00+0000', tz='UTC'), Timestamp('2019-02-24 22:04:00+0000', tz='UTC'), None);1;0
