first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3
2019-02-15 17:30:00+00:00;2019-02-15 17:32:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 17:30:00+0000', tz='UTC'), Timestamp('2019-02-15 17:32:00+0000', tz='UTC'), None);0;0
2019-02-15 17:36:00+00:00;2019-02-15 20:35:30+00:00;0 days 02:59:30;slice(Timestamp('2019-02-15 17:36:00+0000', tz='UTC'), Timestamp('2019-02-15 20:35:30+0000', tz='UTC'), None);1;2
2019-02-15 21:02:30+00:00;2019-02-15 21:04:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 21:02:30+0000', tz='UTC'), Timestamp('2019-02-15 21:04:30+0000', tz='UTC'), None);0;0
2019-02-15 21:23:00+00:00;2019-02-15 21:25:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 21:23:00+0000', tz='UTC'), Timestamp('2019-02-15 21:25:00+0000', tz='UTC'), None);0;0
2019-02-15 21:43:00+00:00;2019-02-15 21:45:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 21:43:00+0000', tz='UTC'), Timestamp('2019-02-15 21:45:00+0000', tz='UTC'), None);0;0
2019-02-16 10:31:00+00:00;2019-02-16 12:00:30+00:00;0 days 01:29:30;slice(Timestamp('2019-02-16 10:31:00+0000', tz='UTC'), Timestamp('2019-02-16 12:00:30+0000', tz='UTC'), None);1;2
2019-02-16 12:06:00+00:00;2019-02-16 12:07:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 12:06:00+0000', tz='UTC'), Timestamp('2019-02-16 12:07:30+0000', tz='UTC'), None);0;0
2019-02-16 12:11:00+00:00;2019-02-16 12:12:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-16 12:11:00+0000', tz='UTC'), Timestamp('2019-02-16 12:12:00+0000', tz='UTC'), None);0;0
2019-02-16 12:17:00+00:00;2019-02-16 12:18:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-16 12:17:00+0000', tz='UTC'), Timestamp('2019-02-16 12:18:00+0000', tz='UTC'), None);0;0
2019-02-16 12:20:30+00:00;2019-02-16 12:22:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 12:20:30+0000', tz='UTC'), Timestamp('2019-02-16 12:22:00+0000', tz='UTC'), None);0;0
2019-02-16 12:27:30+00:00;2019-02-16 13:57:00+00:00;0 days 01:29:30;slice(Timestamp('2019-02-16 12:27:30+0000', tz='UTC'), Timestamp('2019-02-16 13:57:00+0000', tz='UTC'), None);1;2
2019-02-16 14:18:30+00:00;2019-02-16 15:51:00+00:00;0 days 01:32:30;slice(Timestamp('2019-02-16 14:18:30+0000', tz='UTC'), Timestamp('2019-02-16 15:51:00+0000', tz='UTC'), None);1;2
2019-02-16 16:20:00+00:00;2019-02-16 16:22:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-16 16:20:00+0000', tz='UTC'), Timestamp('2019-02-16 16:22:30+0000', tz='UTC'), None);0;0
2019-02-16 16:40:00+00:00;2019-02-16 16:42:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-16 16:40:00+0000', tz='UTC'), Timestamp('2019-02-16 16:42:00+0000', tz='UTC'), None);0;0
2019-02-16 16:59:00+00:00;2019-02-16 17:01:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-16 16:59:00+0000', tz='UTC'), Timestamp('2019-02-16 17:01:00+0000', tz='UTC'), None);0;0
2019-02-16 17:17:30+00:00;2019-02-16 17:19:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-16 17:17:30+0000', tz='UTC'), Timestamp('2019-02-16 17:19:30+0000', tz='UTC'), None);0;0
2019-02-16 17:37:00+00:00;2019-02-16 17:39:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-16 17:37:00+0000', tz='UTC'), Timestamp('2019-02-16 17:39:00+0000', tz='UTC'), None);0;0
2019-02-16 17:57:00+00:00;2019-02-16 17:58:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 17:57:00+0000', tz='UTC'), Timestamp('2019-02-16 17:58:30+0000', tz='UTC'), None);0;0
2019-02-16 18:16:30+00:00;2019-02-16 18:18:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 18:16:30+0000', tz='UTC'), Timestamp('2019-02-16 18:18:00+0000', tz='UTC'), None);0;0
2019-02-16 18:32:30+00:00;2019-02-16 18:34:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 18:32:30+0000', tz='UTC'), Timestamp('2019-02-16 18:34:00+0000', tz='UTC'), None);0;0
2019-02-16 18:50:30+00:00;2019-02-16 20:20:00+00:00;0 days 01:29:30;slice(Timestamp('2019-02-16 18:50:30+0000', tz='UTC'), Timestamp('2019-02-16 20:20:00+0000', tz='UTC'), None);1;2
2019-02-16 20:28:30+00:00;2019-02-16 20:30:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 20:28:30+0000', tz='UTC'), Timestamp('2019-02-16 20:30:00+0000', tz='UTC'), None);0;0
2019-02-16 20:34:00+00:00;2019-02-16 20:35:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 20:34:00+0000', tz='UTC'), Timestamp('2019-02-16 20:35:30+0000', tz='UTC'), None);0;0
2019-02-16 20:39:30+00:00;2019-02-16 20:41:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 20:39:30+0000', tz='UTC'), Timestamp('2019-02-16 20:41:00+0000', tz='UTC'), None);0;0
2019-02-16 20:44:30+00:00;2019-02-16 20:46:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 20:44:30+0000', tz='UTC'), Timestamp('2019-02-16 20:46:00+0000', tz='UTC'), None);0;0
2019-02-16 20:50:00+00:00;2019-02-16 20:51:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 20:50:00+0000', tz='UTC'), Timestamp('2019-02-16 20:51:30+0000', tz='UTC'), None);0;0
2019-02-16 20:55:30+00:00;2019-02-16 20:57:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 20:55:30+0000', tz='UTC'), Timestamp('2019-02-16 20:57:00+0000', tz='UTC'), None);0;0
2019-02-16 21:01:00+00:00;2019-02-16 21:02:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-16 21:01:00+0000', tz='UTC'), Timestamp('2019-02-16 21:02:00+0000', tz='UTC'), None);0;0
2019-02-16 21:06:00+00:00;2019-02-16 21:07:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 21:06:00+0000', tz='UTC'), Timestamp('2019-02-16 21:07:30+0000', tz='UTC'), None);0;0
2019-02-16 21:12:00+00:00;2019-02-16 21:13:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-16 21:12:00+0000', tz='UTC'), Timestamp('2019-02-16 21:13:00+0000', tz='UTC'), None);0;0
2019-02-16 21:17:30+00:00;2019-02-16 21:19:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 21:17:30+0000', tz='UTC'), Timestamp('2019-02-16 21:19:00+0000', tz='UTC'), None);0;0
2019-02-16 21:23:00+00:00;2019-02-16 21:24:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 21:23:00+0000', tz='UTC'), Timestamp('2019-02-16 21:24:30+0000', tz='UTC'), None);0;0
2019-02-16 21:29:00+00:00;2019-02-16 21:30:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-16 21:29:00+0000', tz='UTC'), Timestamp('2019-02-16 21:30:00+0000', tz='UTC'), None);0;0
2019-02-16 21:34:30+00:00;2019-02-16 21:36:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 21:34:30+0000', tz='UTC'), Timestamp('2019-02-16 21:36:00+0000', tz='UTC'), None);0;0
2019-02-16 21:40:30+00:00;2019-02-16 21:42:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 21:40:30+0000', tz='UTC'), Timestamp('2019-02-16 21:42:00+0000', tz='UTC'), None);0;0
2019-02-16 21:46:30+00:00;2019-02-16 21:48:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 21:46:30+0000', tz='UTC'), Timestamp('2019-02-16 21:48:00+0000', tz='UTC'), None);0;0
2019-02-16 21:52:30+00:00;2019-02-16 21:54:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 21:52:30+0000', tz='UTC'), Timestamp('2019-02-16 21:54:00+0000', tz='UTC'), None);0;0
2019-02-16 21:59:00+00:00;2019-02-16 22:00:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-16 21:59:00+0000', tz='UTC'), Timestamp('2019-02-16 22:00:00+0000', tz='UTC'), None);0;0
2019-02-16 22:05:00+00:00;2019-02-16 22:06:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 22:05:00+0000', tz='UTC'), Timestamp('2019-02-16 22:06:30+0000', tz='UTC'), None);0;0
2019-02-16 22:11:30+00:00;2019-02-16 22:13:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-16 22:11:30+0000', tz='UTC'), Timestamp('2019-02-16 22:13:00+0000', tz='UTC'), None);0;0
2019-02-16 22:18:00+00:00;2019-02-16 22:49:00+00:00;0 days 00:31:00;slice(Timestamp('2019-02-16 22:18:00+0000', tz='UTC'), Timestamp('2019-02-16 22:49:00+0000', tz='UTC'), None);1;2
2019-02-17 10:38:30+00:00;2019-02-17 13:37:00+00:00;0 days 02:58:30;slice(Timestamp('2019-02-17 10:38:30+0000', tz='UTC'), Timestamp('2019-02-17 13:37:00+0000', tz='UTC'), None);1;2
2019-02-17 14:06:30+00:00;2019-02-17 14:09:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-17 14:06:30+0000', tz='UTC'), Timestamp('2019-02-17 14:09:00+0000', tz='UTC'), None);0;0
2019-02-17 14:18:30+00:00;2019-02-17 15:47:30+00:00;0 days 01:29:00;slice(Timestamp('2019-02-17 14:18:30+0000', tz='UTC'), Timestamp('2019-02-17 15:47:30+0000', tz='UTC'), None);1;2
2019-02-17 16:12:30+00:00;2019-02-17 16:14:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-17 16:12:30+0000', tz='UTC'), Timestamp('2019-02-17 16:14:30+0000', tz='UTC'), None);0;0
2019-02-17 16:32:30+00:00;2019-02-17 16:34:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-17 16:32:30+0000', tz='UTC'), Timestamp('2019-02-17 16:34:30+0000', tz='UTC'), None);0;0
2019-02-17 16:53:30+00:00;2019-02-17 16:55:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-17 16:53:30+0000', tz='UTC'), Timestamp('2019-02-17 16:55:30+0000', tz='UTC'), None);0;0
2019-02-17 17:14:00+00:00;2019-02-17 21:39:30+00:00;0 days 04:25:30;slice(Timestamp('2019-02-17 17:14:00+0000', tz='UTC'), Timestamp('2019-02-17 21:39:30+0000', tz='UTC'), None);1;1
2019-02-17 22:15:00+00:00;2019-02-17 23:32:00+00:00;0 days 01:17:00;slice(Timestamp('2019-02-17 22:15:00+0000', tz='UTC'), Timestamp('2019-02-17 23:32:00+0000', tz='UTC'), None);1;1
2019-02-18 13:34:30+00:00;2019-02-18 15:03:30+00:00;0 days 01:29:00;slice(Timestamp('2019-02-18 13:34:30+0000', tz='UTC'), Timestamp('2019-02-18 15:03:30+0000', tz='UTC'), None);1;2
2019-02-18 15:16:30+00:00;2019-02-18 19:13:30+00:00;0 days 03:57:00;slice(Timestamp('2019-02-18 15:16:30+0000', tz='UTC'), Timestamp('2019-02-18 19:13:30+0000', tz='UTC'), None);1;1
2019-02-18 19:52:30+00:00;2019-02-18 19:56:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-18 19:52:30+0000', tz='UTC'), Timestamp('2019-02-18 19:56:00+0000', tz='UTC'), None);0;0
2019-02-18 20:02:30+00:00;2019-02-18 20:05:30+00:00;0 days 00:03:00;slice(Timestamp('2019-02-18 20:02:30+0000', tz='UTC'), Timestamp('2019-02-18 20:05:30+0000', tz='UTC'), None);0;0
2019-02-18 20:11:00+00:00;2019-02-18 20:14:00+00:00;0 days 00:03:00;slice(Timestamp('2019-02-18 20:11:00+0000', tz='UTC'), Timestamp('2019-02-18 20:14:00+0000', tz='UTC'), None);0;0
2019-02-18 20:19:30+00:00;2019-02-18 20:22:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-18 20:19:30+0000', tz='UTC'), Timestamp('2019-02-18 20:22:00+0000', tz='UTC'), None);0;0
2019-02-18 20:27:30+00:00;2019-02-18 20:30:30+00:00;0 days 00:03:00;slice(Timestamp('2019-02-18 20:27:30+0000', tz='UTC'), Timestamp('2019-02-18 20:30:30+0000', tz='UTC'), None);0;0
2019-02-18 20:35:30+00:00;2019-02-18 20:38:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-18 20:35:30+0000', tz='UTC'), Timestamp('2019-02-18 20:38:00+0000', tz='UTC'), None);0;0
2019-02-18 20:43:30+00:00;2019-02-18 20:46:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-18 20:43:30+0000', tz='UTC'), Timestamp('2019-02-18 20:46:00+0000', tz='UTC'), None);0;0
2019-02-18 20:51:00+00:00;2019-02-18 20:54:00+00:00;0 days 00:03:00;slice(Timestamp('2019-02-18 20:51:00+0000', tz='UTC'), Timestamp('2019-02-18 20:54:00+0000', tz='UTC'), None);0;0
2019-02-18 20:59:00+00:00;2019-02-18 21:02:00+00:00;0 days 00:03:00;slice(Timestamp('2019-02-18 20:59:00+0000', tz='UTC'), Timestamp('2019-02-18 21:02:00+0000', tz='UTC'), None);0;0
2019-02-18 21:07:00+00:00;2019-02-18 21:09:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-18 21:07:00+0000', tz='UTC'), Timestamp('2019-02-18 21:09:30+0000', tz='UTC'), None);0;0
